"","m_24_2_r2024","m_24_2_r2023","m_24_2_r2022","m_24_2_r2021","m_24_2_r2020","m_24_2_r2019","m_24_2_r2018","m_24_2_r2017","m_24_2_r2016","m_24_2_r2015","m_24_2_r2014"
"1",279.319,280.513,281.067,281.425,281.917,282.151,283.707,284.802,285.071,287.543,288.226
"2",49.6252,49.0671,49.0282,48.0701,48.0357,48.292,47.8719,46.7818,46.9581,45.0606,44.9223
"3",46.8966,46.4585,46.4369,45.686,45.6753,45.9116,45.6397,44.8173,45.0057,43.611,43.5391
"4",61.4918,60.8312,60.7688,59.5187,59.4735,59.7843,59.434,58.1769,58.4536,56.4432,56.356
"5",177.805,177.211,176.79,176.731,176.162,175.214,173.396,172.138,170.456,168.806,167.396
"6",284.118,284.835,285.413,286.193,287.02,288.455,291.525,293.714,295.807,301.124,302.702
"7",45.2749,44.6491,44.6025,43.1419,43.0735,43.3142,42.9244,41.4754,41.6319,39.3989,39.1978
"8",30.8114,30.4971,30.482,29.7003,29.6746,29.8247,29.6941,28.9508,29.0757,28.0059,27.9113
"9",29.5622,29.3313,29.3384,28.6709,28.6714,28.8246,28.8135,28.2177,28.3703,27.6176,27.5593
"10",34.6854,34.5303,34.6177,33.8581,33.9468,34.212,34.4449,33.8365,34.1367,33.5762,33.5913
"11",31.9041,31.716,31.8278,30.8808,30.9997,31.3221,31.6066,30.8367,31.2038,30.4419,30.4728
"12",23.5755,23.3232,23.372,22.456,22.511,22.7436,22.871,22.1003,22.3615,21.5064,21.4895
"13",29.8722,29.5273,29.6092,28.2794,28.3738,28.7097,28.9395,27.8267,28.2145,27.0363,27.0226
"14",47.7723,47.5503,48.0844,45.5439,46.1012,47.1043,48.2699,46.0537,47.1784,45.0602,45.2779
"15",37.4509,36.9594,37.169,34.9835,35.2222,35.815,36.307,34.4245,35.0872,33.1139,33.1311
"16",44.6212,44.0297,44.3397,41.4434,41.8106,42.6251,43.5316,41.0797,42.07,39.784,39.8805
"17",22.0034,21.6062,21.6969,20.2224,20.3434,20.6949,20.9849,19.7384,20.1601,18.8857,18.891
"18",25.3072,24.763,24.8323,22.9802,23.1092,23.5201,23.9409,22.4357,22.9954,21.5926,21.6201
"19",23.0255,22.5138,22.5753,20.89,21.0041,21.3811,21.7253,20.3507,20.8534,19.5094,19.5221
"20",57.2801,56.0484,56.309,51.8376,52.2397,53.3221,54.5513,50.9368,52.4263,49.1512,49.2368
"21",49.9497,48.8859,49.1581,45.1368,45.512,46.4895,47.604,44.338,45.6557,42.7012,42.7175
"22",30.6182,29.8877,29.999,27.6977,27.9045,28.4779,29.0462,27.2362,28.0332,26.2591,26.3112
"23",58.6417,57.618,58.1547,53.533,54.1581,55.516,57.0545,53.3578,55.117,51.7806,51.8014
"24",105.468,103.079,103.623,94.1133,94.7046,96.3393,98.1833,90.7703,93.3744,86.7052,86.025
"25",124.836,122.012,123.011,111.765,113.097,115.951,119.36,110.739,114.92,107.195,106.677
"26",74.5242,72.766,73.3264,66.2691,66.9376,68.4392,70.1009,64.5175,66.5077,61.4521,60.7197
